Member_number,Recency,Frequency,Monetary,Cluster
KH1000,35,13,53.8,Potential Loyalists
KH1001,242,12,100.0,Big Spenders
KH1002,122,8,70.3,Potential Loyalists
KH1003,323,8,60.65,Churned Customers
KH1004,28,21,204.96,Loyal Customers
KH1005,706,4,24.0,One-time Shoppers
KH1006,199,15,182.94,Big Spenders
KH1008,88,12,155.9,Loyal Customers
KH1009,86,9,48.75,Potential Loyalists
KH1010,152,12,89.36,Big Spenders
KH1011,21,13,89.8,Potential Loyalists
KH1012,41,11,75.86,Potential Loyalists
KH1013,89,19,186.75,Loyal Customers
KH1014,88,10,75.1,Potential Loyalists
KH1015,240,7,71.4,Big Spenders
KH1016,86,11,104.7,Potential Loyalists
KH1017,91,11,75.49,Potential Loyalists
KH1018,221,8,94.6,Big Spenders
KH1019,385,2,73.5,Churned Customers
KH1020,78,10,73.84,Potential Loyalists
KH1021,53,8,53.4,Potential Loyalists
KH1022,571,6,117.5,One-time Shoppers
KH1023,185,17,182.0,Big Spenders
KH1024,142,4,58.2,Big Spenders
KH1025,133,6,42.62,Big Spenders
KH1026,216,17,117.35,Big Spenders
KH1027,227,9,129.7,Big Spenders
KH1028,172,13,107.6,Big Spenders
KH1029,291,2,16.35,Churned Customers
KH1031,76,7,64.6,Potential Loyalists
KH1032,129,16,96.46,Big Spenders
KH1033,198,12,91.3,Big Spenders
KH1034,596,9,83.05,One-time Shoppers
KH1035,113,14,69.9,Potential Loyalists
KH1036,709,2,10.8,One-time Shoppers
KH1037,14,10,58.44,Potential Loyalists
KH1038,16,19,214.2,Loyal Customers
KH1039,213,2,2.7,Big Spenders
KH1040,34,11,48.1,Potential Loyalists
KH1041,272,10,113.75,Big Spenders
KH1042,75,6,35.75,Potential Loyalists
KH1043,354,8,94.69,Churned Customers
KH1044,66,4,25.4,Potential Loyalists
KH1045,35,9,103.3,Potential Loyalists
KH1046,189,4,16.7,Big Spenders
KH1047,143,6,51.6,Big Spenders
KH1048,73,6,23.8,Potential Loyalists
KH1049,116,8,62.3,Potential Loyalists
KH1050,240,14,124.6,Big Spenders
KH1051,50,20,207.36,Loyal Customers
KH1052,64,27,271.9,Loyal Customers
KH1053,174,12,80.7,Big Spenders
KH1054,70,9,43.9,Potential Loyalists
KH1055,219,6,75.7,Big Spenders
KH1056,51,6,58.2,Potential Loyalists
KH1057,570,8,32.15,One-time Shoppers
KH1058,50,8,38.9,Potential Loyalists
KH1059,564,5,16.8,One-time Shoppers
KH1061,116,14,149.1,Loyal Customers
KH1062,103,16,129.32,Loyal Customers
KH1063,341,4,8.1,Churned Customers
KH1064,158,7,59.1,Big Spenders
KH1065,47,14,225.4,Loyal Customers
KH1066,566,6,19.92,One-time Shoppers
KH1067,163,8,112.3,Big Spenders
KH1068,182,4,20.7,Big Spenders
KH1069,132,10,90.45,Big Spenders
KH1070,420,4,66.4,Churned Customers
KH1071,460,3,17.1,One-time Shoppers
KH1072,68,4,50.7,Potential Loyalists
KH1073,27,12,109.8,Potential Loyalists
KH1074,75,10,71.96,Potential Loyalists
KH1075,41,11,80.3,Potential Loyalists
KH1076,77,13,87.9,Potential Loyalists
KH1077,109,14,50.9,Potential Loyalists
KH1078,63,7,50.0,Potential Loyalists
KH1079,112,6,89.1,Potential Loyalists
KH1080,230,5,17.8,Big Spenders
KH1081,241,16,138.6,Big Spenders
KH1082,596,5,65.8,One-time Shoppers
KH1083,327,7,102.7,Churned Customers
KH1084,621,2,7.6,One-time Shoppers
KH1085,137,7,31.74,Big Spenders
KH1086,2,14,94.4,Potential Loyalists
KH1087,138,21,193.82,Loyal Customers
KH1088,30,9,58.75,Potential Loyalists
KH1089,390,2,9.3,Churned Customers
KH1090,70,12,219.2,Loyal Customers
KH1092,82,20,104.31,Potential Loyalists
KH1093,277,2,3.65,Churned Customers
KH1094,113,20,149.79,Loyal Customers
KH1095,61,8,57.76,Potential Loyalists
KH1096,155,2,15.3,Big Spenders
KH1097,59,17,106.48,Potential Loyalists
KH1098,48,24,267.62,Loyal Customers
KH1099,139,6,39.7,Big Spenders
KH1100,293,10,88.3,Churned Customers
KH1101,367,7,52.0,Churned Customers
KH1102,186,10,73.7,Big Spenders
KH1103,403,10,87.1,Churned Customers
KH1104,64,10,40.25,Potential Loyalists
KH1105,222,6,34.8,Big Spenders
KH1107,90,20,129.38,Loyal Customers
KH1108,153,12,94.06,Big Spenders
KH1109,268,12,93.9,Big Spenders
KH1110,40,18,155.9,Loyal Customers
KH1111,40,11,53.3,Potential Loyalists
KH1112,265,4,26.36,Big Spenders
KH1113,147,11,74.65,Big Spenders
KH1114,173,16,121.12,Big Spenders
KH1115,342,8,68.5,Churned Customers
KH1116,31,24,157.4,Loyal Customers
KH1117,220,3,34.6,Big Spenders
KH1118,5,18,173.4,Loyal Customers
